Run	BGCs	PFAMs
SRR13002030	54332	4944
SRR2135756	664	405
SRR21474775	32768	4697
SRR21474777	40810	5102
SRR21474778	43770	5361
SRR21474779	40196	4996
SRR21474780	41394	4877
SRR21474782	40905	5104
SRR21474785	42027	5191
SRR21474786	45308	5050
SRR2837124	22341	4176
SRR2837131	23291	4403
SRR5916561	61309	4830
SRR5918724	55088	5360
SRR5918802	58582	5152
SRR5918858	45313	4962
SRR6441344	17798	3956
SRR7595001	10171	2988
SRR7595085	25273	3812
SRR7595087	23804	3963
SRR7595091	8808	2451
SRR7595151	27778	3785
SRR7595198	15437	3594
SRR7595210	10233	2967
SRR7595224	21811	3473
SRR7595263	11873	2887
SRR7595280	9036	3255
SRR7595314	26178	4506
SRR7595315	21613	3688
SRR7595332	4943	2133
SRR8814878	16724	3510
SRR8819330	6381	1748
