sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
k141_774309	deepbgc	0.1.0	deepbgc	k141_774309_443-938.1	443	938	495	1	2	0	0.53567	antibacterial	0.83	0.06	0.18	0.23		0.00	0.10	0.07	0.33	0.20	0.03	0.32	k141_774309_k141_774309_2		PF12833;PF00165
k141_387173	deepbgc	0.1.0	deepbgc	k141_387173_2-584.1	2	584	582	2	2	0	0.63647	antibacterial	0.87	0.05	0.15	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_387173_k141_387173_1;k141_387173_k141_387173_2		PF13358;PF01498
k141_483990	deepbgc	0.1.0	deepbgc	k141_483990_104-995.1	104	995	891	1	1	1	0.62209	antibacterial	0.86	0.05	0.16	0.25		0.00	0.08	0.05	0.25	0.17	0.26	0.22	k141_483990_k141_483990_1	PF00535	PF00535
k141_967925	deepbgc	0.1.0	deepbgc	k141_967925_356-1364.1	356	1364	1008	1	1	0	0.50845	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_967925_k141_967925_1		PF04069
k141_96844	deepbgc	0.1.0	deepbgc	k141_96844_1-1261.1	1	1261	1260	1	1	0	0.51266	antibacterial	0.87	0.06	0.17	0.26		0.00	0.08	0.09	0.29	0.25	0.03	0.31	k141_96844_k141_96844_1		PF00593
k141_580786	deepbgc	0.1.0	deepbgc	k141_580786_1-786.1	1	786	785	2	2	0	0.53005	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_580786_k141_580786_1;k141_580786_k141_580786_2		PF02347;PF10711
k141_484018	deepbgc	0.1.0	deepbgc	k141_484018_58-1249.1	58	1249	1191	1	1	0	0.62783	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	k141_484018_k141_484018_1		PF01426
k141_193682	deepbgc	0.1.0	deepbgc	k141_193682_532-1324.1	532	1324	792	2	3	1	0.68786	antibacterial	0.81	0.11	0.16	0.24		0.11	0.05	0.09	0.30	0.17	0.03	0.30	k141_193682_k141_193682_2;k141_193682_k141_193682_3	PF00355	PF00355;PF13806;PF02776
k141_484054	deepbgc	0.1.0	deepbgc	k141_484054_281-1784.1	281	1784	1503	1	7	1	0.72275		0.47	0.20	0.26	0.23		0.06	0.01	0.21	0.24	0.03	0.24	0.42	k141_484054_k141_484054_1	PF01266	PF00732;PF07992;PF01946;PF01266;PF05834;PF00890;PF05199
k141_677662	deepbgc	0.1.0	deepbgc	k141_677662_365-959.1	365	959	594	1	2	0	0.52404	antibacterial	0.61	0.05	0.12	0.17		0.00	0.05	0.41	0.19	0.17	0.02	0.20	k141_677662_k141_677662_1		PF00440;PF08279
